REPORT_DATE,FATALITIES,FIPS,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2004-10-27,1,40149,40149,0.0,1,0,0
2004-09-24,1,20021,20021,0.0,1,0,0
2004-09-13,1,36099,36099,0.0,1,0,0
2004-10-15,2,45075,45075,0.0,1,0,0
2004-01-27,1,24015,24015,1.0,1,0,0
2003-06-13,1,25027,25027,1.0,1,0,0
2003-09-15,2,25009,25009,0.0,1,0,0
2004-08-27,1,06029,06029,1.0,1,0,0
2004-07-15,1,06037,06037,-6.0,1,0,0
2004-08-05,1,48423,48423,0.0,1,0,0
2004-06-29,5,20115,20115,0.0,1,0,0
2004-06-29,5,20115,20115,0.0,1,0,0
2003-07-07,1,37071,37071,0.0,1,0,0
2004-01-25,2,37119,37119,0.0,1,0,0
2004-08-03,1,19045,19045,1.0,1,0,0
2003-12-09,1,20053,20053,0.0,1,0,0
2004-05-27,1,45051,45051,5.0,1,0,0
2003-09-23,2,48037,48037,-1.0,1,0,0
2004-05-29,1,20063,20063,0.0,1,0,0
2004-06-08,1,06065,06065,2.0,1,0,0
2004-06-04,1,17031,17031,5.0,1,0,0
2004-05-27,1,30097,30097,0.0,1,0,0
2003-07-17,1,36081,36081,-2.0,1,0,0
2004-01-26,1,26151,26151,0.0,1,0,0
2003-07-17,1,36081,36081,-2.0,1,0,0
2003-07-17,1,36081,36081,-2.0,1,0,0
2003-08-27,1,36111,36111,1.0,1,0,0
2003-12-30,1,06027,06027,0.0,1,0,0
2004-03-20,2,48245,48245,0.0,1,0,0
2004-03-30,1,21099,21099,1.0,1,0,0
2004-01-26,1,26151,26151,0.0,1,0,0
2004-03-13,1,45041,45041,2.0,1,0,0
2003-10-28,1,16039,16039,-1.0,1,0,0
2003-10-04,1,16001,16001,0.0,1,0,0
2004-01-15,1,21151,21151,-1.0,1,0,0
2000-09-11,1,06037,06037,-6.0,0,1,0
2004-01-08,1,48407,48407,-1.0,1,0,0
2003-06-11,1,26159,26159,0.0,1,0,0
2003-10-24,1,34027,34027,-2.0,1,0,0
2003-12-21,1,06023,06023,-1.0,1,0,0
2003-10-01,1,26087,26087,2.0,1,0,0
2003-12-17,1,17201,17201,-1.0,1,0,0
2003-08-14,1,34019,34019,-2.0,1,0,0
2003-11-01,1,24005,24005,-1.0,1,0,0
2003-11-08,2,04025,04025,0.0,1,0,0
2003-12-21,1,56037,56037,-1.0,1,0,0
2003-12-02,1,29099,29099,1.0,1,0,0
2002-07-22,2,34023,34023,0.0,1,0,0
2003-10-24,1,24033,24033,-3.0,1,0,0
2003-10-02,2,06037,06037,-6.0,1,0,0
2003-08-31,1,24033,24033,-3.0,1,0,0
2002-08-30,1,39043,39043,2.0,1,0,0
2002-07-10,2,35023,35023,0.0,1,0,0
2002-07-10,2,35023,35023,0.0,1,0,0
2002-05-19,1,19035,19035,1.0,1,0,0
2003-01-04,1,09009,09009,-1.0,1,0,0
2003-03-02,1,23019,23019,0.0,1,0,0
2003-08-19,2,23011,23011,-1.0,1,0,0
2002-06-25,1,25017,25017,0.0,1,0,0
2003-07-25,1,06031,06031,0.0,1,0,0
2003-07-30,1,41061,41061,-1.0,1,0,0
2003-01-31,1,34013,34013,-1.0,1,0,0
2001-10-26,1,18071,18071,-1.0,0,1,0
2001-02-22,1,39139,39139,1.0,0,1,0
2003-05-08,1,06047,06047,0.0,1,0,0
2002-11-17,1,35015,35015,-1.0,1,0,0
2003-01-28,1,39171,39171,-1.0,1,0,0
2003-06-14,1,17031,17031,5.0,1,0,0
2001-03-09,1,06037,06037,-6.0,0,1,0
2001-05-24,1,06113,06113,0.0,0,1,0
2003-04-16,1,24043,24043,1.0,1,0,0
2002-03-28,1,25027,25027,1.0,1,0,0
2002-07-01,1,25017,25017,0.0,1,0,0
2003-02-07,1,24033,24033,-3.0,1,0,0
2002-12-04,1,12127,12127,-1.0,1,0,0
2002-11-12,1,04003,04003,1.0,1,0,0
2003-03-10,1,23017,23017,0.0,1,0,0
2003-02-07,1,19095,19095,0.0,1,0,0
2003-03-03,1,23027,23027,1.0,1,0,0
2001-06-20,1,12111,12111,-1.0,0,1,0
2002-12-10,1,39143,39143,1.0,1,0,0
2002-10-05,1,24005,24005,-1.0,1,0,0
2002-10-25,1,24043,24043,1.0,1,0,0
2002-10-30,1,39089,39089,-1.0,1,0,0
2002-10-21,1,39165,39165,0.0,1,0,0
2002-02-14,1,16047,16047,1.0,1,0,0
2002-02-23,1,06099,06099,-1.0,1,0,0
2002-02-05,3,06019,06019,1.0,1,0,0
2001-12-24,1,36081,36081,-2.0,0,1,0
2002-10-07,1,29047,29047,-1.0,1,0,0
2001-10-20,1,34023,34023,0.0,0,1,0
2002-11-05,1,27147,27147,-2.0,1,0,0
2002-08-29,2,36051,36051,0.0,1,0,0
2002-08-08,1,13185,13185,0.0,1,0,0
2002-05-18,1,04013,04013,4.0,1,0,0
1994-01-13,1,44003,44003,0.0,0,0,1
1995-06-30,2,44007,44007,3.0,0,0,1
1999-10-30,1,42049,42049,-3.0,0,1,0
1998-08-11,1,42011,42011,1.0,0,0,1
1998-06-20,7,42061,42061,0.0,0,0,1
1997-01-22,1,42025,42025,-1.0,0,0,1
1997-01-13,1,42125,42125,-1.0,0,0,1
2000-11-10,1,42009,42009,0.0,0,1,0
2000-07-03,1,42075,42075,-1.0,0,1,0
2000-01-29,1,42101,42101,0.0,0,1,0
2001-05-21,1,36103,36103,0.0,0,1,0
1995-03-22,1,41067,41067,0.0,0,0,1
1999-12-09,1,40089,40089,-1.0,0,1,0
1999-11-23,2,40087,40087,0.0,0,1,0
1999-10-05,3,40133,40133,-1.0,0,1,0
1999-05-19,1,40131,40131,-3.0,0,1,0
1999-03-14,1,40039,40039,0.0,0,1,0
1997-11-03,1,39003,39003,0.0,0,0,1
1997-05-27,1,39069,39069,1.0,0,0,1
1995-08-28,1,39005,39005,1.0,0,0,1
1994-12-17,2,39011,39011,0.0,0,0,1
1999-05-05,1,36037,36037,-4.0,0,1,0
1997-04-04,1,36105,36105,-2.0,0,0,1
1997-10-19,1,36001,36001,0.0,0,0,1
1997-03-06,1,36089,36089,-2.0,0,0,1
1997-09-21,1,36043,36043,1.0,0,0,1
1996-02-01,1,36119,36119,0.0,0,0,1
2000-10-03,1,36103,36103,0.0,0,1,0
2000-05-15,1,36119,36119,0.0,0,1,0
2001-10-16,1,32003,32003,-3.0,0,1,0
1999-06-10,1,32007,32007,1.0,0,1,0
1997-03-25,1,35035,35035,0.0,0,0,1
1997-10-06,1,34039,34039,-3.0,0,0,1
1995-03-24,1,31019,31019,0.0,0,0,1
1994-08-02,1,31047,31047,0.0,0,0,1
1998-08-10,1,31019,31019,0.0,0,0,1
1997-07-20,1,38043,38043,0.0,0,0,1
1996-02-02,1,37059,37059,0.0,0,0,1
1995-11-15,1,37183,37183,-3.0,0,0,1
2000-10-28,1,37195,37195,0.0,0,1,0
2000-03-30,3,37127,37127,2.0,0,1,0
2000-09-26,1,37197,37197,-1.0,0,1,0
1998-11-18,1,37037,37037,0.0,0,0,1
1998-08-28,1,37119,37119,0.0,0,0,1
1999-10-15,1,28159,28159,-1.0,0,1,0
1999-04-26,1,28027,28027,-1.0,0,1,0
1999-02-13,1,28051,28051,-1.0,0,1,0
1996-03-08,2,28121,28121,-1.0,0,0,1
2001-01-23,1,28047,28047,-2.0,0,1,0
1999-03-17,1,29123,29123,1.0,0,1,0
1998-11-09,1,29510,29510,0.0,0,0,1
1996-12-23,1,29219,29219,0.0,0,0,1
1995-07-22,1,29099,29099,1.0,0,0,1
2001-06-10,1,29219,29219,0.0,0,1,0
2000-04-27,1,29105,29105,0.0,0,1,0
2000-08-31,1,27169,27169,0.0,0,1,0
1997-09-24,1,26027,26027,0.0,0,0,1
1995-06-06,1,26025,26025,0.0,0,0,1
2000-01-25,1,26037,26037,0.0,0,1,0
2000-11-20,1,24025,24025,1.0,0,1,0
2000-04-27,1,24023,24023,0.0,0,1,0
1997-06-09,1,24015,24015,1.0,0,0,1
1998-08-25,1,24033,24033,-3.0,0,0,1
1996-12-17,1,24003,24003,1.0,0,0,1
1997-11-11,1,24013,24013,0.0,0,0,1
1997-12-16,1,24033,24033,-3.0,0,0,1
1996-11-04,1,24021,24021,0.0,0,0,1
1995-10-14,2,24021,24021,0.0,0,0,1
1994-10-26,1,24005,24005,-1.0,0,0,1
1998-06-20,2,24045,24045,-1.0,0,0,1
1996-01-11,1,24043,24043,1.0,0,0,1
1995-10-27,1,24005,24005,-1.0,0,0,1
1999-10-14,1,24025,24025,1.0,0,1,0
1998-05-31,1,25021,25021,-1.0,0,0,1
1996-05-05,2,22005,22005,0.0,0,0,1
1996-12-22,1,22017,22017,3.0,0,0,1
1995-05-28,1,22027,22027,1.0,0,0,1
1996-01-20,1,22001,22001,2.0,0,0,1
1998-01-16,1,22073,22073,1.0,0,0,1
1998-01-16,1,22073,22073,1.0,0,0,1
1995-12-29,1,21061,21061,0.0,0,0,1
1998-10-21,1,21151,21151,-1.0,0,0,1
1997-09-07,1,21195,21195,0.0,0,0,1
1995-08-18,1,21067,21067,-2.0,0,0,1
1996-06-05,1,21037,21037,1.0,0,0,1
1998-05-01,1,21111,21111,0.0,0,0,1
2000-05-09,1,21029,21029,0.0,0,1,0
1999-02-11,1,21199,21199,-1.0,0,1,0
2000-12-11,1,20061,20061,-1.0,0,1,0
1999-10-02,1,20177,20177,0.0,0,1,0
1999-08-31,2,20087,20087,-1.0,0,1,0
1999-07-01,1,20185,20185,0.0,0,1,0
1999-07-07,2,18127,18127,0.0,0,1,0
1998-08-28,3,18109,18109,3.0,0,0,1
1998-04-20,1,18097,18097,0.0,0,0,1
1997-03-01,1,18097,18097,0.0,0,0,1
1996-04-29,1,18053,18053,1.0,0,0,1
2000-11-11,1,18089,18089,0.0,0,1,0
2000-09-18,1,18075,18075,0.0,0,1,0
2000-08-02,1,18091,18091,1.0,0,1,0
1997-12-03,1,17085,17085,2.0,0,0,1
1999-01-08,1,17095,17095,0.0,0,1,0
1998-06-04,1,17113,17113,2.0,0,0,1
1998-04-26,1,17031,17031,5.0,0,0,1
1998-05-27,1,17031,17031,5.0,0,0,1
2000-10-30,1,06099,06099,-1.0,0,1,0
2001-03-20,3,16047,16047,1.0,0,1,0
1997-04-04,2,19111,19111,-1.0,0,0,1
1995-10-20,1,19055,19055,2.0,0,0,1
1994-07-12,1,19013,19013,0.0,0,0,1
1996-02-15,3,19049,19049,-1.0,0,0,1
1998-06-15,1,13207,13207,0.0,0,0,1
1995-07-02,1,13049,13049,0.0,0,0,1
1994-06-20,1,13121,13121,-1.0,0,0,1
1994-01-31,1,13175,13175,0.0,0,0,1
2000-09-11,1,13135,13135,1.0,0,1,0
1999-11-15,1,13063,13063,-1.0,0,1,0
2000-03-03,1,13153,13153,-1.0,0,1,0
2000-10-23,1,12115,12115,1.0,0,1,0
1999-01-16,2,12097,12097,-1.0,0,1,0
1999-09-19,1,12057,12057,-3.0,0,1,0
2000-03-08,2,12121,12121,-1.0,0,1,0
2000-10-29,1,12119,12119,1.0,0,1,0
1999-06-28,1,12021,12021,0.0,0,1,0
1995-12-06,1,12053,12053,0.0,0,0,1
1994-07-05,1,12111,12111,-1.0,0,0,1
1997-03-16,1,10003,10003,0.0,0,0,1
1994-04-12,1,09003,09003,1.0,0,0,1
1998-05-19,1,09001,09001,-1.0,0,0,1
1997-09-15,2,09009,09009,-1.0,0,0,1
1999-07-27,2,08075,08075,0.0,0,1,0
1997-04-11,1,08009,08009,-2.0,0,0,1
1999-07-01,1,06085,06085,0.0,0,1,0
2000-10-20,1,04025,04025,0.0,0,1,0
1999-07-28,2,04005,04005,0.0,0,1,0
1999-01-18,1,04019,04019,0.0,0,1,0
1999-01-07,1,04013,04013,4.0,0,1,0
1997-04-26,1,04013,04013,4.0,0,0,1
1996-03-07,1,05117,05117,0.0,0,0,1
1998-02-18,1,01127,01127,-1.0,0,0,1
1998-02-16,1,01053,01053,3.0,0,0,1
1994-12-19,1,01053,01053,3.0,0,0,1
2000-02-17,1,01113,01113,1.0,0,1,0
2000-09-01,1,01097,01097,1.0,0,1,0
2000-07-23,1,01047,01047,1.0,0,1,0
2000-06-26,1,01087,01087,1.0,0,1,0
2002-03-02,1,21093,21093,-2.0,1,0,0
2002-06-26,1,29095,29095,-3.0,1,0,0
2002-02-13,1,21061,21061,0.0,1,0,0
2002-04-18,2,31047,31047,0.0,1,0,0
2002-04-18,2,31047,31047,0.0,1,0,0
2002-06-23,1,01089,01089,0.0,1,0,0
2001-10-24,2,31055,31055,0.0,0,1,0
2002-02-13,1,24031,24031,1.0,1,0,0
2001-12-28,1,34039,34039,-3.0,0,1,0
2002-04-13,1,24033,24033,-3.0,1,0,0
2001-12-18,1,32003,32003,-3.0,0,1,0
2001-10-06,1,08043,08043,0.0,0,1,0
2001-12-21,1,18039,18039,1.0,0,1,0
1996-02-13,1,47059,47059,0.0,0,0,1
2000-05-22,1,34039,34039,-3.0,0,1,0
2002-03-29,1,40121,40121,-2.0,1,0,0
2002-02-06,1,29061,29061,0.0,1,0,0
2002-03-03,3,40101,40101,3.0,1,0,0
2001-05-17,2,31157,31157,-1.0,0,1,0
2001-12-13,1,42045,42045,-1.0,0,1,0
2000-06-21,1,06037,06037,-6.0,0,1,0
2001-03-23,1,34015,34015,1.0,0,1,0
2001-10-02,1,26115,26115,-1.0,0,1,0
2002-02-15,1,08123,08123,1.0,1,0,0
2001-11-27,1,13021,13021,0.0,0,1,0
2001-11-05,1,37067,37067,1.0,0,1,0
2001-03-08,1,25017,25017,0.0,0,1,0
2000-10-28,1,48375,48375,-1.0,0,1,0
2001-03-10,2,08059,08059,0.0,0,1,0
2001-04-25,1,18173,18173,-2.0,0,1,0
2001-09-25,1,17113,17113,2.0,0,1,0
1998-10-01,1,25009,25009,0.0,0,0,1
2001-07-09,1,37109,37109,1.0,0,1,0
2001-07-25,1,47065,47065,1.0,0,1,0
1998-01-21,1,41001,41001,-2.0,0,0,1
1999-01-03,1,41059,41059,0.0,0,1,0
1997-11-17,1,41019,41019,-1.0,0,0,1
1997-05-03,1,41051,41051,-1.0,0,0,1
2001-08-01,1,50007,50007,-1.0,0,1,0
1999-09-17,1,56007,56007,1.0,0,1,0
1998-06-21,1,56007,56007,1.0,0,0,1
1995-04-07,1,56007,56007,1.0,0,0,1
1999-06-21,1,55007,55007,0.0,0,1,0
1997-01-22,1,55071,55071,1.0,0,0,1
1995-12-27,1,53011,53011,0.0,0,0,1
1998-08-08,1,50021,50021,1.0,0,0,1
2000-08-14,1,50013,50013,-1.0,0,1,0
1997-03-15,1,50007,50007,-1.0,0,0,1
1999-02-04,1,49003,49003,-1.0,0,1,0
1997-02-06,1,49015,49015,0.0,0,0,1
1994-10-05,1,49023,49023,0.0,0,0,1
1999-02-11,1,48273,48273,1.0,0,1,0
1996-07-15,2,48113,48113,1.0,0,0,1
1995-11-19,2,48359,48359,1.0,0,0,1
1995-05-18,1,48097,48097,-2.0,0,0,1
1996-02-13,1,47059,47059,0.0,0,0,1
1998-10-01,1,25009,25009,0.0,0,0,1
1998-10-08,2,47037,47037,1.0,0,0,1
1998-08-03,1,47189,47189,0.0,0,0,1
1995-08-27,2,47065,47065,1.0,0,0,1
1999-10-23,3,47089,47089,-1.0,0,1,0
2000-08-06,2,47055,47055,-1.0,0,1,0
1999-06-14,2,47145,47145,0.0,0,1,0
1999-06-03,5,47117,47117,0.0,0,1,0
