REPORT_DATE,FATALITIES,FIPS,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2005-06-06,1,37185,37185,-1.0,1,0,0
2005-05-14,2,35057,35057,-1.0,1,0,0
2005-12-15,1,37159,37159,0.0,1,0,0
2005-12-09,1,32003,32003,-3.0,1,0,0
2005-07-28,1,34003,34003,-1.0,1,0,0
2005-12-21,1,34015,34015,1.0,1,0,0
2005-10-05,1,04019,04019,0.0,1,0,0
2005-12-06,1,21071,21071,0.0,1,0,0
2005-11-02,1,12083,12083,1.0,1,0,0
2005-09-30,1,04013,04013,4.0,1,0,0
2005-09-30,1,04013,04013,4.0,1,0,0
2005-12-15,1,31055,31055,0.0,1,0,0
2005-09-17,1,06047,06047,0.0,1,0,0
2005-09-26,1,37021,37021,-1.0,1,0,0
2005-05-13,1,39043,39043,2.0,1,0,0
2005-07-13,1,26163,26163,-5.0,1,0,0
2005-10-07,1,24013,24013,0.0,1,0,0
2005-10-12,1,48365,48365,1.0,1,0,0
2005-07-14,1,48245,48245,0.0,1,0,0
2005-10-16,5,55035,55035,2.0,1,0,0
2005-07-29,4,32007,32007,1.0,1,0,0
2005-10-23,1,29510,29510,0.0,1,0,0
2004-06-30,1,09011,09011,1.0,1,0,0
2000-12-11,1,20061,20061,-1.0,0,1,0
2001-04-12,1,20059,20059,0.0,0,1,0
2005-04-15,2,12127,12127,-1.0,1,0,0
2005-06-03,2,34023,34023,0.0,1,0,0
2005-10-14,2,47093,47093,-1.0,1,0,0
2005-09-21,2,05035,05035,-1.0,1,0,0
2005-09-01,2,53037,53037,-3.0,1,0,0
2005-07-28,1,04013,04013,4.0,1,0,0
2005-08-15,1,19103,19103,0.0,1,0,0
2005-02-01,1,37019,37019,0.0,1,0,0
2005-07-16,1,06071,06071,-5.0,1,0,0
2005-08-29,1,05071,05071,-1.0,1,0,0
2005-08-23,1,25013,25013,2.0,1,0,0
2005-08-01,1,24031,24031,1.0,1,0,0
2005-07-08,1,47043,47043,1.0,1,0,0
2005-07-26,1,06037,06037,-6.0,1,0,0
2005-07-16,1,17091,17091,3.0,1,0,0
2005-06-22,1,06013,06013,-1.0,1,0,0
2005-01-29,1,24005,24005,-1.0,1,0,0
2004-09-01,1,34001,34001,0.0,1,0,0
2005-05-13,1,39043,39043,2.0,1,0,0
2005-06-08,2,06089,06089,1.0,1,0,0
2005-04-16,1,06101,06101,0.0,1,0,0
2004-12-27,2,48473,48473,-1.0,1,0,0
2004-09-03,1,06019,06019,1.0,1,0,0
2004-09-06,3,36087,36087,2.0,1,0,0
2004-10-24,1,04017,04017,0.0,1,0,0
2005-03-26,2,29077,29077,-3.0,1,0,0
2005-03-05,1,32003,32003,-3.0,1,0,0
2005-02-13,1,30093,30093,0.0,1,0,0
2004-09-12,1,24021,24021,0.0,1,0,0
2005-01-17,1,48113,48113,1.0,1,0,0
2005-01-29,1,29021,29021,-1.0,1,0,0
2004-10-23,1,55079,55079,0.0,1,0,0
2004-10-12,1,24027,24027,-1.0,1,0,0
2004-11-27,1,40135,40135,0.0,1,0,0
2004-05-18,1,24005,24005,-1.0,1,0,0
2004-09-21,1,40109,40109,2.0,1,0,0
