,ZIP3,entry_2007,entry_2008,entry_2015,entry_2016,entry_2006_2016
0,010,0.0,1.0,0.0,0.0,2.0
1,011,0.0,0.0,0.0,0.0,1.0
2,012,0.0,0.0,0.0,0.0,0.0
3,014,0.0,0.0,1.0,0.0,1.0
4,015,0.0,0.0,0.0,0.0,3.0
5,016,0.0,0.0,0.0,0.0,1.0
6,017,0.0,0.0,0.0,0.0,0.0
7,018,0.0,0.0,0.0,0.0,1.0
8,019,0.0,0.0,0.0,0.0,0.0
9,020,0.0,0.0,0.0,0.0,0.0
10,021,0.0,0.0,0.0,0.0,0.0
11,023,0.0,0.0,0.0,0.0,0.0
12,024,0.0,0.0,1.0,0.0,1.0
13,026,0.0,0.0,0.0,0.0,0.0
14,027,0.0,0.0,0.0,0.0,0.0
15,028,0.0,0.0,0.0,0.0,1.0
16,029,0.0,0.0,0.0,0.0,3.0
17,030,0.0,0.0,0.0,0.0,7.0
18,031,0.0,0.0,0.0,0.0,0.0
19,032,0.0,0.0,0.0,0.0,0.0
20,033,0.0,0.0,0.0,0.0,0.0
21,034,0.0,0.0,0.0,0.0,0.0
22,035,0.0,0.0,0.0,0.0,0.0
23,037,0.0,0.0,0.0,0.0,0.0
24,038,0.0,0.0,0.0,0.0,0.0
25,039,0.0,0.0,0.0,0.0,1.0
26,040,0.0,0.0,0.0,1.0,5.0
27,041,0.0,0.0,0.0,0.0,1.0
28,042,0.0,0.0,0.0,0.0,0.0
29,043,0.0,0.0,0.0,0.0,2.0
30,044,0.0,0.0,0.0,0.0,1.0
31,046,0.0,0.0,0.0,0.0,0.0
32,047,0.0,0.0,0.0,0.0,0.0
33,048,0.0,0.0,0.0,0.0,0.0
34,049,0.0,0.0,0.0,0.0,2.0
35,050,0.0,0.0,0.0,0.0,0.0
36,051,0.0,0.0,0.0,0.0,0.0
37,053,0.0,0.0,0.0,0.0,1.0
38,054,0.0,0.0,0.0,0.0,2.0
39,056,0.0,0.0,0.0,0.0,0.0
40,057,0.0,0.0,0.0,0.0,1.0
41,058,0.0,0.0,0.0,0.0,0.0
42,060,0.0,0.0,0.0,0.0,0.0
43,061,0.0,0.0,0.0,0.0,1.0
44,062,0.0,0.0,0.0,0.0,0.0
45,063,0.0,0.0,1.0,0.0,1.0
46,064,1.0,0.0,0.0,0.0,3.0
47,066,0.0,0.0,0.0,0.0,0.0
48,067,0.0,0.0,0.0,0.0,0.0
49,068,0.0,0.0,0.0,0.0,1.0
50,070,2.0,0.0,0.0,0.0,6.0
51,071,0.0,0.0,0.0,0.0,1.0
52,072,0.0,0.0,0.0,0.0,0.0
53,073,0.0,0.0,0.0,0.0,1.0
54,074,1.0,0.0,0.0,0.0,1.0
55,075,0.0,0.0,0.0,0.0,0.0
56,076,0.0,0.0,0.0,0.0,0.0
57,077,0.0,0.0,0.0,0.0,1.0
58,078,0.0,0.0,0.0,0.0,2.0
59,080,1.0,0.0,0.0,1.0,6.0
60,081,0.0,0.0,0.0,0.0,0.0
61,082,0.0,0.0,0.0,0.0,3.0
62,083,0.0,0.0,0.0,0.0,0.0
63,085,0.0,0.0,0.0,0.0,2.0
64,086,0.0,0.0,0.0,0.0,1.0
65,087,0.0,0.0,0.0,0.0,0.0
66,088,0.0,1.0,0.0,0.0,4.0
67,089,0.0,0.0,0.0,0.0,3.0
68,105,0.0,0.0,0.0,0.0,1.0
69,109,0.0,0.0,0.0,1.0,2.0
70,111,0.0,0.0,0.0,0.0,0.0
71,114,0.0,0.0,0.0,0.0,0.0
72,117,0.0,0.0,0.0,0.0,0.0
73,120,0.0,1.0,0.0,0.0,5.0
74,121,0.0,0.0,0.0,0.0,0.0
75,122,0.0,0.0,0.0,0.0,1.0
76,123,0.0,0.0,0.0,0.0,1.0
77,124,0.0,0.0,0.0,0.0,2.0
78,125,0.0,0.0,0.0,0.0,2.0
79,127,0.0,0.0,0.0,0.0,0.0
80,128,0.0,0.0,0.0,1.0,2.0
81,129,0.0,0.0,0.0,0.0,1.0
82,130,0.0,0.0,0.0,1.0,5.0
83,131,0.0,0.0,0.0,0.0,6.0
84,132,0.0,0.0,0.0,0.0,0.0
85,133,0.0,0.0,0.0,0.0,4.0
86,134,0.0,1.0,0.0,0.0,2.0
87,135,0.0,0.0,0.0,0.0,0.0
88,136,1.0,0.0,0.0,0.0,2.0
89,137,0.0,0.0,0.0,0.0,1.0
90,138,0.0,0.0,0.0,0.0,1.0
91,139,0.0,0.0,0.0,0.0,0.0
92,140,0.0,0.0,0.0,0.0,3.0
93,141,0.0,0.0,0.0,0.0,4.0
94,142,0.0,0.0,0.0,1.0,1.0
95,143,0.0,0.0,0.0,0.0,0.0
96,144,0.0,0.0,0.0,0.0,1.0
97,145,0.0,0.0,0.0,1.0,5.0
98,146,0.0,0.0,0.0,0.0,0.0
99,147,0.0,0.0,0.0,0.0,1.0
