,ZIP5,exit_2007,exit_2008,exit_2015,exit_2016,exit_2006_2016
0,01008,0.0,0.0,0.0,0.0,0.0
1,01022,0.0,0.0,0.0,0.0,0.0
2,01056,0.0,0.0,0.0,0.0,0.0
3,01077,0.0,0.0,0.0,0.0,0.0
4,01093,0.0,-1.0,0.0,0.0,-1.0
5,01101,0.0,0.0,0.0,0.0,-1.0
6,01104,0.0,0.0,0.0,0.0,0.0
7,01105,0.0,0.0,0.0,0.0,0.0
8,01238,0.0,0.0,0.0,0.0,-2.0
9,01432,0.0,0.0,0.0,0.0,0.0
10,01453,0.0,0.0,0.0,0.0,-1.0
11,01460,0.0,0.0,0.0,0.0,-1.0
12,01473,0.0,0.0,0.0,0.0,-1.0
13,01475,0.0,0.0,0.0,0.0,-1.0
14,01505,0.0,0.0,0.0,0.0,0.0
15,01507,0.0,0.0,0.0,0.0,0.0
16,01527,0.0,0.0,0.0,0.0,0.0
17,01534,-1.0,0.0,0.0,0.0,-1.0
18,01537,0.0,0.0,0.0,0.0,0.0
19,01545,0.0,0.0,0.0,0.0,0.0
20,01566,0.0,-1.0,0.0,0.0,0.0
21,01581,0.0,0.0,0.0,0.0,0.0
22,01590,0.0,0.0,0.0,0.0,0.0
23,01604,0.0,0.0,0.0,0.0,0.0
24,01701,0.0,0.0,0.0,0.0,0.0
25,01760,0.0,0.0,0.0,0.0,0.0
26,01801,0.0,0.0,0.0,0.0,-1.0
27,01851,0.0,0.0,0.0,0.0,0.0
28,01852,0.0,0.0,0.0,0.0,0.0
29,01862,0.0,0.0,0.0,0.0,0.0
30,01887,0.0,0.0,0.0,0.0,0.0
31,01952,0.0,0.0,0.0,0.0,0.0
32,01960,0.0,0.0,0.0,0.0,0.0
33,02035,0.0,0.0,0.0,0.0,0.0
34,02093,0.0,0.0,0.0,0.0,0.0
35,02118,0.0,0.0,0.0,0.0,-1.0
36,02150,0.0,0.0,0.0,0.0,0.0
37,02155,0.0,0.0,0.0,0.0,0.0
38,02324,0.0,0.0,0.0,0.0,0.0
39,02375,0.0,0.0,0.0,0.0,0.0
40,02421,0.0,0.0,-1.0,0.0,0.0
41,02462,0.0,0.0,0.0,0.0,0.0
42,02633,0.0,-1.0,0.0,0.0,-1.0
43,02702,-1.0,0.0,0.0,0.0,-1.0
44,02718,0.0,0.0,0.0,0.0,-1.0
45,02723,0.0,0.0,0.0,0.0,-1.0
46,02762,0.0,-1.0,0.0,-1.0,-1.0
47,02779,0.0,0.0,0.0,0.0,-1.0
48,02817,0.0,0.0,0.0,0.0,0.0
49,02860,0.0,0.0,0.0,0.0,0.0
50,02905,0.0,0.0,0.0,0.0,0.0
51,02919,0.0,0.0,0.0,0.0,0.0
52,02920,0.0,0.0,0.0,0.0,-1.0
53,03032,0.0,0.0,0.0,0.0,0.0
54,03034,0.0,0.0,0.0,0.0,0.0
55,03038,0.0,0.0,0.0,0.0,-1.0
56,03042,0.0,0.0,0.0,0.0,-1.0
57,03048,0.0,0.0,0.0,0.0,0.0
58,03053,0.0,0.0,0.0,0.0,0.0
59,03054,0.0,0.0,0.0,0.0,0.0
60,03060,-1.0,0.0,0.0,0.0,-1.0
61,03063,0.0,0.0,0.0,0.0,-1.0
62,03077,0.0,0.0,0.0,0.0,-1.0
63,03079,0.0,0.0,0.0,0.0,-1.0
64,03103,0.0,0.0,0.0,-1.0,-1.0
65,03106,-1.0,0.0,0.0,0.0,-1.0
66,03244,0.0,0.0,0.0,0.0,-1.0
67,03261,0.0,0.0,0.0,0.0,0.0
68,03301,0.0,0.0,0.0,0.0,-2.0
69,03304,0.0,0.0,0.0,0.0,0.0
70,03452,0.0,0.0,0.0,0.0,0.0
71,03458,0.0,0.0,0.0,0.0,0.0
72,03466,0.0,0.0,-1.0,0.0,-1.0
73,03469,0.0,0.0,0.0,0.0,-1.0
74,03581,0.0,0.0,0.0,0.0,-2.0
75,03584,0.0,0.0,0.0,0.0,-1.0
76,03590,0.0,0.0,0.0,0.0,-1.0
77,03598,0.0,0.0,0.0,0.0,-1.0
78,03748,0.0,0.0,0.0,0.0,0.0
79,03766,0.0,0.0,0.0,0.0,0.0
80,03801,0.0,0.0,0.0,0.0,-1.0
81,03825,-1.0,0.0,0.0,0.0,-1.0
82,03840,0.0,0.0,0.0,0.0,0.0
83,03848,0.0,0.0,0.0,0.0,0.0
84,03865,-1.0,0.0,0.0,0.0,-1.0
85,03867,0.0,0.0,0.0,0.0,0.0
86,03874,0.0,0.0,0.0,0.0,0.0
87,03904,0.0,0.0,0.0,0.0,-1.0
88,04005,0.0,0.0,0.0,0.0,-1.0
89,04027,0.0,0.0,0.0,0.0,0.0
90,04039,0.0,-1.0,0.0,0.0,-1.0
91,04043,0.0,0.0,-1.0,0.0,0.0
92,04103,-1.0,0.0,0.0,0.0,-1.0
93,04106,0.0,0.0,0.0,0.0,-1.0
94,04210,0.0,0.0,0.0,0.0,0.0
95,04217,0.0,0.0,0.0,0.0,0.0
96,04239,0.0,0.0,0.0,-1.0,-1.0
97,04240,0.0,0.0,0.0,0.0,-1.0
98,04282,0.0,0.0,0.0,0.0,0.0
99,04345,0.0,0.0,0.0,0.0,-1.0
100,04357,0.0,0.0,0.0,0.0,0.0
101,04363,0.0,0.0,-1.0,0.0,-1.0
102,04401,0.0,0.0,0.0,0.0,0.0
103,04429,0.0,0.0,0.0,0.0,-1.0
104,04460,0.0,0.0,0.0,0.0,0.0
105,04666,0.0,0.0,0.0,0.0,0.0
106,04668,0.0,0.0,0.0,0.0,0.0
107,04694,0.0,0.0,0.0,0.0,0.0
108,04730,0.0,0.0,0.0,0.0,0.0
109,04758,0.0,0.0,0.0,0.0,-1.0
110,04760,0.0,0.0,0.0,0.0,-1.0
111,04776,0.0,0.0,0.0,0.0,0.0
112,04785,0.0,0.0,0.0,0.0,0.0
113,04864,0.0,0.0,0.0,0.0,0.0
114,04937,0.0,0.0,0.0,0.0,-1.0
115,04938,0.0,0.0,0.0,0.0,-1.0
116,04945,0.0,0.0,0.0,0.0,0.0
117,04952,0.0,0.0,0.0,0.0,0.0
118,04953,0.0,0.0,0.0,0.0,0.0
119,04974,0.0,0.0,0.0,0.0,0.0
120,05081,0.0,0.0,0.0,0.0,0.0
121,05101,0.0,0.0,0.0,0.0,0.0
122,05156,0.0,0.0,0.0,0.0,0.0
123,05301,0.0,0.0,0.0,0.0,0.0
124,05356,0.0,0.0,-1.0,0.0,-1.0
125,05403,0.0,0.0,0.0,0.0,0.0
126,05440,0.0,0.0,-1.0,0.0,-1.0
127,05446,0.0,0.0,0.0,0.0,-1.0
128,05450,0.0,0.0,0.0,0.0,-1.0
129,05454,0.0,0.0,0.0,0.0,0.0
130,05472,0.0,0.0,0.0,0.0,0.0
131,05478,0.0,0.0,0.0,0.0,0.0
132,05488,0.0,0.0,0.0,0.0,-1.0
133,05602,0.0,0.0,0.0,0.0,0.0
134,05656,0.0,0.0,0.0,0.0,0.0
135,05661,0.0,0.0,0.0,0.0,0.0
136,05701,0.0,0.0,0.0,0.0,0.0
137,05733,0.0,0.0,0.0,0.0,0.0
138,05743,0.0,0.0,0.0,0.0,0.0
139,05770,0.0,0.0,0.0,0.0,0.0
140,05829,0.0,0.0,0.0,0.0,0.0
141,05855,0.0,0.0,0.0,0.0,0.0
142,06084,0.0,0.0,0.0,0.0,-1.0
143,06114,0.0,0.0,0.0,0.0,0.0
144,06279,0.0,0.0,0.0,0.0,0.0
145,06353,0.0,0.0,-1.0,0.0,0.0
146,06359,-1.0,0.0,0.0,0.0,0.0
147,06374,0.0,0.0,0.0,0.0,0.0
148,06405,-1.0,0.0,0.0,0.0,-1.0
149,06416,-1.0,0.0,0.0,0.0,-1.0
150,06443,0.0,0.0,-2.0,0.0,0.0
151,06460,0.0,0.0,0.0,0.0,-2.0
152,06467,0.0,0.0,0.0,0.0,0.0
153,06473,0.0,0.0,0.0,0.0,0.0
154,06488,0.0,0.0,0.0,0.0,-1.0
155,06607,0.0,0.0,0.0,0.0,-1.0
156,06776,0.0,0.0,0.0,0.0,-1.0
157,06810,0.0,0.0,0.0,0.0,0.0
158,06820,0.0,0.0,0.0,0.0,-1.0
159,06824,0.0,0.0,-2.0,0.0,0.0
160,07001,0.0,0.0,0.0,0.0,0.0
161,07002,0.0,0.0,0.0,0.0,0.0
162,07004,0.0,-1.0,0.0,0.0,-2.0
163,07008,0.0,0.0,0.0,-1.0,0.0
164,07032,0.0,0.0,0.0,0.0,0.0
165,07036,-1.0,0.0,0.0,0.0,-2.0
166,07046,0.0,0.0,0.0,0.0,-1.0
167,07047,-2.0,0.0,0.0,0.0,-2.0
168,07072,0.0,0.0,0.0,0.0,-1.0
169,07073,0.0,-1.0,0.0,0.0,-1.0
170,07077,0.0,0.0,0.0,0.0,-1.0
171,07083,0.0,0.0,0.0,0.0,-1.0
172,07094,0.0,0.0,0.0,0.0,0.0
173,07095,0.0,0.0,0.0,0.0,0.0
174,07105,0.0,0.0,0.0,0.0,0.0
175,07114,0.0,0.0,0.0,0.0,0.0
176,07201,0.0,0.0,0.0,-1.0,-1.0
177,07202,0.0,0.0,0.0,0.0,-1.0
178,07206,0.0,0.0,0.0,0.0,0.0
179,07305,0.0,-1.0,0.0,0.0,-1.0
180,07306,0.0,0.0,0.0,0.0,-1.0
181,07307,0.0,0.0,0.0,-1.0,-1.0
182,07407,0.0,0.0,0.0,0.0,0.0
183,07430,-1.0,0.0,0.0,0.0,-2.0
184,07446,0.0,0.0,0.0,0.0,0.0
185,07470,0.0,0.0,0.0,0.0,0.0
186,07503,-1.0,0.0,0.0,0.0,-1.0
187,07514,0.0,0.0,0.0,0.0,-1.0
188,07650,0.0,0.0,0.0,0.0,0.0
189,07657,0.0,0.0,0.0,0.0,0.0
190,07701,0.0,0.0,0.0,0.0,-1.0
191,07724,0.0,0.0,0.0,0.0,0.0
192,07726,0.0,0.0,0.0,0.0,-1.0
193,07728,0.0,0.0,0.0,0.0,-1.0
194,07827,0.0,0.0,0.0,0.0,0.0
195,07829,0.0,0.0,0.0,-1.0,0.0
196,07832,0.0,0.0,0.0,0.0,0.0
197,07833,0.0,0.0,0.0,0.0,0.0
198,07836,0.0,0.0,0.0,-1.0,-1.0
199,07852,0.0,0.0,0.0,0.0,0.0
200,08002,0.0,0.0,0.0,0.0,0.0
201,08016,0.0,0.0,0.0,0.0,0.0
202,08022,0.0,0.0,0.0,0.0,0.0
203,08028,0.0,0.0,0.0,0.0,0.0
204,08030,0.0,0.0,0.0,0.0,-1.0
205,08037,-1.0,-1.0,0.0,0.0,-2.0
206,08052,0.0,0.0,0.0,0.0,0.0
207,08054,0.0,0.0,0.0,0.0,0.0
208,08060,0.0,0.0,0.0,0.0,0.0
209,08065,0.0,0.0,0.0,0.0,-1.0
210,08066,0.0,0.0,0.0,0.0,0.0
211,08069,0.0,0.0,0.0,0.0,0.0
212,08080,0.0,0.0,0.0,0.0,0.0
213,08081,0.0,0.0,0.0,0.0,0.0
214,08085,0.0,0.0,0.0,0.0,0.0
215,08086,0.0,0.0,0.0,-1.0,-1.0
216,08088,0.0,0.0,0.0,0.0,0.0
217,08089,0.0,0.0,0.0,0.0,0.0
218,08110,0.0,0.0,0.0,0.0,0.0
219,08201,0.0,0.0,0.0,0.0,0.0
220,08232,0.0,-1.0,0.0,0.0,-1.0
221,08243,0.0,0.0,0.0,0.0,0.0
222,08310,0.0,0.0,0.0,0.0,0.0
223,08360,0.0,0.0,0.0,-1.0,-1.0
224,08505,0.0,0.0,0.0,0.0,0.0
225,08510,-1.0,0.0,0.0,0.0,-1.0
226,08512,0.0,0.0,0.0,0.0,-1.0
227,08518,0.0,0.0,0.0,0.0,0.0
228,08520,0.0,0.0,0.0,0.0,0.0
229,08551,-1.0,0.0,0.0,0.0,-1.0
230,08561,0.0,0.0,0.0,0.0,-1.0
231,08620,0.0,0.0,0.0,0.0,0.0
232,08648,0.0,0.0,0.0,0.0,-1.0
233,08650,0.0,0.0,0.0,0.0,0.0
234,08731,0.0,0.0,0.0,0.0,0.0
235,08804,0.0,0.0,0.0,0.0,0.0
236,08809,0.0,0.0,0.0,0.0,-1.0
237,08810,0.0,0.0,0.0,0.0,0.0
238,08816,0.0,0.0,0.0,0.0,-1.0
239,08818,0.0,0.0,0.0,0.0,0.0
240,08822,0.0,0.0,0.0,0.0,0.0
241,08827,0.0,0.0,0.0,0.0,-1.0
242,08831,0.0,0.0,0.0,0.0,0.0
243,08837,0.0,0.0,0.0,0.0,0.0
244,08852,0.0,0.0,0.0,0.0,-1.0
245,08865,0.0,0.0,0.0,0.0,-2.0
246,08879,-1.0,0.0,0.0,-1.0,-1.0
247,08902,0.0,0.0,0.0,0.0,-1.0
248,10502,0.0,0.0,0.0,0.0,0.0
249,10523,0.0,0.0,0.0,0.0,-1.0
250,10940,0.0,0.0,0.0,0.0,-1.0
251,10974,0.0,0.0,0.0,-1.0,0.0
252,11101,0.0,0.0,0.0,0.0,-2.0
253,11436,0.0,0.0,0.0,0.0,0.0
254,11735,0.0,0.0,0.0,0.0,0.0
255,12010,0.0,0.0,0.0,0.0,0.0
