,year,zip5,cnt
0,2006,01008,1
1,2006,01022,1
2,2006,01056,2
3,2006,01077,1
4,2006,01093,1
5,2006,01101,1
6,2006,01105,1
7,2006,01238,4
8,2006,01432,1
9,2006,01453,1
10,2006,01460,1
11,2006,01473,1
12,2006,01475,1
13,2006,01505,1
14,2006,01507,2
15,2006,01534,1
16,2006,01545,1
17,2006,01566,3
18,2006,01581,1
19,2006,01701,1
20,2006,01760,1
21,2006,01801,1
22,2006,01851,1
23,2006,01852,1
24,2006,01862,1
25,2006,01887,1
26,2006,01952,1
27,2006,01960,1
28,2006,02035,1
29,2006,02093,1
30,2006,02118,1
31,2006,02150,1
32,2006,02155,1
33,2006,02324,2
34,2006,02375,1
35,2006,02633,1
36,2006,02702,1
37,2006,02718,1
38,2006,02723,1
39,2006,02762,1
40,2006,02779,1
41,2006,02817,1
42,2006,02920,1
43,2006,03038,1
44,2006,03042,2
45,2006,03053,1
46,2006,03054,1
47,2006,03060,1
48,2006,03063,1
49,2006,03077,1
50,2006,03079,1
51,2006,03103,3
52,2006,03106,1
53,2006,03244,1
54,2006,03261,1
55,2006,03301,2
56,2006,03304,2
57,2006,03452,1
58,2006,03458,1
59,2006,03466,1
60,2006,03469,1
61,2006,03581,2
62,2006,03584,1
63,2006,03590,1
64,2006,03598,1
65,2006,03748,2
66,2006,03766,1
67,2006,03801,4
68,2006,03825,1
69,2006,03840,1
70,2006,03848,1
71,2006,03865,1
72,2006,03867,1
73,2006,03874,1
74,2006,03904,1
75,2006,04005,1
76,2006,04039,1
77,2006,04103,1
78,2006,04106,2
79,2006,04210,2
80,2006,04217,1
81,2006,04239,1
82,2006,04240,1
83,2006,04282,1
84,2006,04345,1
85,2006,04363,1
86,2006,04401,1
87,2006,04429,1
88,2006,04460,1
89,2006,04666,1
90,2006,04668,2
91,2006,04694,1
92,2006,04730,2
93,2006,04758,1
94,2006,04760,1
95,2006,04776,1
96,2006,04785,1
97,2006,04864,1
98,2006,04937,2
99,2006,04938,1
100,2006,04945,1
101,2006,04953,1
102,2006,04974,1
103,2006,05081,1
104,2006,05101,1
105,2006,05156,1
106,2006,05301,1
107,2006,05356,1
108,2006,05403,1
109,2006,05440,2
110,2006,05446,1
111,2006,05450,1
112,2006,05454,1
113,2006,05478,1
114,2006,05488,3
115,2006,05602,1
116,2006,05656,1
117,2006,05661,1
118,2006,05733,1
119,2006,05743,2
120,2006,05770,1
121,2006,05829,1
122,2006,05855,2
123,2006,06084,1
124,2006,06114,1
125,2006,06279,1
126,2006,06359,2
127,2006,06374,1
128,2006,06405,2
129,2006,06416,1
130,2006,06460,4
131,2006,06467,1
132,2006,06473,1
133,2006,06488,1
134,2006,06607,1
135,2006,06776,1
136,2006,06820,1
137,2006,07001,1
138,2006,07002,1
139,2006,07004,3
140,2006,07032,2
141,2006,07036,3
142,2006,07046,1
143,2006,07047,2
144,2006,07072,1
145,2006,07073,1
146,2006,07077,1
147,2006,07083,1
148,2006,07094,1
149,2006,07095,1
150,2006,07105,2
151,2006,07201,4
152,2006,07202,1
153,2006,07206,1
154,2006,07305,1
155,2006,07306,2
156,2006,07307,2
157,2006,07407,1
158,2006,07430,5
159,2006,07446,1
160,2006,07470,1
161,2006,07503,1
162,2006,07514,1
163,2006,07650,3
164,2006,07657,1
165,2006,07701,1
166,2006,07726,1
