,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016
123,05095,0.0,0.0,0.0,0.0,0.0
124,05099,0.0,0.0,0.0,0.0,0.0
125,05103,0.0,0.0,0.0,0.0,0.0
126,05107,0.0,0.0,0.0,0.0,0.0
127,05109,0.0,0.0,0.0,0.0,-1.0
128,05111,0.0,0.0,0.0,0.0,-1.0
129,05113,0.0,0.0,0.0,0.0,1.0
130,05115,0.0,1.0,0.0,0.0,0.0
131,05117,0.0,0.0,1.0,-1.0,0.0
132,05119,0.0,0.0,0.0,1.0,1.0
133,05123,-1.0,-1.0,0.0,-1.0,-3.0
134,05125,0.0,0.0,0.0,0.0,0.0
135,05127,0.0,0.0,0.0,0.0,-1.0
136,05129,0.0,0.0,0.0,0.0,-1.0
137,05131,-1.0,0.0,0.0,0.0,-2.0
138,05133,0.0,0.0,0.0,0.0,0.0
139,05135,0.0,0.0,0.0,0.0,1.0
140,05137,0.0,0.0,0.0,0.0,1.0
141,05139,1.0,-1.0,0.0,1.0,2.0
142,05141,0.0,0.0,0.0,0.0,0.0
143,05143,0.0,0.0,0.0,1.0,2.0
144,05145,1.0,0.0,1.0,0.0,4.0
145,05147,0.0,0.0,1.0,0.0,1.0
146,06001,0.0,0.0,1.0,0.0,0.0
147,06007,0.0,0.0,0.0,0.0,0.0
148,06013,0.0,0.0,0.0,0.0,-1.0
149,06019,0.0,-1.0,0.0,0.0,1.0
150,06021,0.0,0.0,0.0,0.0,0.0
151,06023,0.0,0.0,1.0,0.0,-1.0
152,06025,1.0,-2.0,-1.0,0.0,-3.0
153,06027,0.0,0.0,0.0,0.0,0.0
154,06029,2.0,1.0,0.0,0.0,1.0
155,06031,0.0,0.0,0.0,0.0,0.0
156,06033,0.0,0.0,1.0,0.0,0.0
157,06037,0.0,0.0,-2.0,0.0,-6.0
158,06039,0.0,0.0,0.0,-1.0,-2.0
159,06045,0.0,0.0,0.0,0.0,0.0
160,06047,0.0,1.0,0.0,0.0,0.0
161,06051,0.0,0.0,1.0,0.0,-1.0
162,06053,0.0,0.0,0.0,0.0,0.0
163,06059,-3.0,0.0,0.0,0.0,-3.0
164,06061,0.0,1.0,0.0,0.0,1.0
165,06063,0.0,0.0,0.0,0.0,0.0
166,06065,0.0,0.0,0.0,-1.0,2.0
167,06067,-1.0,0.0,0.0,0.0,-1.0
168,06069,0.0,0.0,0.0,0.0,0.0
169,06071,1.0,-4.0,-3.0,1.0,-5.0
170,06073,0.0,-1.0,0.0,-1.0,-1.0
171,06077,0.0,1.0,0.0,1.0,1.0
172,06079,0.0,0.0,0.0,0.0,0.0
173,06081,0.0,0.0,0.0,1.0,0.0
174,06085,0.0,0.0,1.0,0.0,0.0
175,06087,0.0,0.0,0.0,1.0,1.0
176,06089,0.0,1.0,1.0,0.0,1.0
177,06093,0.0,0.0,0.0,-1.0,0.0
178,06095,0.0,0.0,0.0,0.0,2.0
179,06097,0.0,0.0,0.0,0.0,0.0
180,06099,0.0,0.0,0.0,0.0,-1.0
181,06101,0.0,0.0,1.0,0.0,0.0
182,06103,2.0,0.0,0.0,0.0,2.0
183,06107,-1.0,0.0,0.0,0.0,0.0
184,06111,-1.0,-1.0,0.0,0.0,-2.0
185,06113,0.0,-1.0,-1.0,0.0,0.0
186,08001,-1.0,0.0,0.0,1.0,-2.0
187,08003,0.0,0.0,0.0,-1.0,-2.0
188,08005,0.0,0.0,0.0,0.0,-1.0
189,08009,-1.0,0.0,0.0,0.0,-2.0
190,08013,0.0,0.0,0.0,0.0,-1.0
191,08015,0.0,0.0,0.0,0.0,-2.0
192,08017,0.0,0.0,0.0,0.0,-1.0
193,08019,0.0,0.0,0.0,0.0,0.0
194,08025,0.0,0.0,0.0,0.0,0.0
195,08031,0.0,0.0,0.0,0.0,-3.0
196,08035,0.0,0.0,0.0,0.0,0.0
197,08041,0.0,0.0,0.0,0.0,-1.0
198,08043,0.0,0.0,0.0,0.0,0.0
199,08045,0.0,0.0,0.0,0.0,1.0
200,08055,0.0,0.0,0.0,0.0,0.0
201,08059,0.0,0.0,0.0,0.0,0.0
