REPORT_DATE,VEHICLES_IN_ACCIDENT,FIPS,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2001-08-12,8.0,40037,40037,0.0,0,1,0
2001-02-22,10.0,42009,42009,0.0,0,1,0
2002-01-28,7.0,53061,53061,0.0,1,0,0
1994-12-04,5.0,56037,56037,-1.0,0,0,1
2001-01-12,5.0,55025,55025,-2.0,0,1,0
1999-06-10,5.0,55079,55079,0.0,0,1,0
1996-03-26,5.0,55119,55119,-1.0,0,0,1
1995-09-06,5.0,55079,55079,0.0,0,0,1
1994-01-24,5.0,55127,55127,-1.0,0,0,1
1999-08-12,5.0,55127,55127,-1.0,0,1,0
1999-02-11,7.0,55115,55115,-1.0,0,1,0
1998-12-16,5.0,53037,53037,-3.0,0,0,1
1998-12-19,6.0,53061,53061,0.0,0,0,1
1996-02-22,5.0,50023,50023,0.0,0,0,1
1999-12-09,5.0,48453,48453,-3.0,0,1,0
1998-01-26,7.0,48453,48453,-3.0,0,0,1
1995-11-01,5.0,48099,48099,0.0,0,0,1
1996-10-30,6.0,47013,47013,0.0,0,0,1
1996-10-20,6.0,47013,47013,0.0,0,0,1
2001-02-03,7.0,46099,46099,-1.0,0,1,0
2001-02-03,7.0,46103,46103,0.0,0,1,0
