CRASH_ID,REPORT_STATE,REPORT_DATE,REPORT_SEQ_NO,LOCATION,CITY_CODE,CITY,STATE,COUNTY_CODE,CARGO_BODY_TYPE_ID,VEHICLE_IDENTIFICATION_NUMBER,VEHICLE_LICENSE_NUMBER,VEHICLE_CONFIGURATION_ID,VEHICLES_IN_ACCIDENT,FATALITIES,INJURIES,CRASH_EVENT_SEQ_ID_DESC
3939165,MN,20200228,1,Blaisdell Ave S,,MINNEAPOLIS,MN,53.0,3.0,1HTMPAFM57H420753,YBX6044,5.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3939166,MN,20200228,1,Harriet Ave S,,MINNEAPOLIS,MN,53.0,3.0,1HTMPAFM57H420753,YBX6044,5.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3947503,CA,20191220,1,RT241/1745ft N LOMA RIDGE,,UNINCORPORATED,CA,59.0,5.0,1NPCX40X9KD266618,85088N2,9.0,4.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3947504,CA,20191220,2,RT241/1745ft N LOMA RIDGE,,UNINCORPORATED,CA,59.0,98.0,1FDUF4GY6CEB85340,1351930,5.0,4.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3959736,WY,20200416,1,I-80 MP 144.00,,WAMSUTTER,WY,37.0,3.0,1XPBDP9X9FD253808,88KROC,9.0,3.0,0,0,2:14:COLLISION INVOLVING PARKED MOTOR VEHICLE;1:1:NONCOLLISION:RAN OFF ROAD
3959738,WY,20200416,3,I-80 MP 144.00,,WAMSUTTER,WY,37.0,3.0,3AKJHHDR9JSJR8045,3BN380,9.0,3.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3960315,NC,20200413,1,AGRO MERCHANTS,,LUMBERTON,NC,155.0,9.0,5VCACLDF0KC229729,YA149648,6.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3960316,NC,20200413,2,AGRO MERCHANTS,,LUMBERTON,NC,155.0,3.0,1XKWDR9X3XR823034,94646PY,9.0,2.0,0,0,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3960326,TN,20200415,1,HIGHLAND DR,,MCKENZIE,TN,17.0,3.0,1HTSDAAL91H386905,B513HS,5.0,3.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
3960327,TN,20200415,2,HIGHLAND DR,,MCKENZIE,TN,17.0,3.0,3ALACWDT2GDHP1586,2378000,5.0,3.0,0,1,1:14:COLLISION INVOLVING PARKED MOTOR VEHICLE
